phase,card_id,repo_id,field,value_excerpt,judge_score,judge_reason,attr_confidence
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,name,all-MiniLM-L6-v2,2,The augmented value 'all-MiniLM-L6-v2' is correct and directly supported by the source material in the HuggingFace API metadata and README excerpt.,1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,version,1.0,0,The version field is not mentioned or supported in the provided metadata or README content.,1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,short_description,Then you can use the model like this: ```python from sentence_transformers impor,0,the augmented value is not a one-sentence summary of the model but rather an example of how to use it,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,full_description,Then you can use the model like this: ```python from sentence_transformers impor,0,The augmented value is misleading and not directly supported by the source material as it includes incorrect code formatting and an undefined variable 'sentence_embeddings'.,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,keywords,"sentence-transformers, pytorch, tf, rust, onnx, openvino, bert, feature-extracti",2,The augmented value for 'keywords' is correct and directly supported by the source material in the HuggingFace API metadata under the 'tags' field.,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,author,sentence-transformers,2,"The field value 'sentence-transformers' is correct and directly supported by the source material, which mentions the model is part of the sentence-transformers library and includes 'sentence-transformers' in both the API metadata and README tags.",1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,citation,https://arxiv.org/abs/1904.06472,2,The augmented value is correct and directly supported by source material as the arxiv:1904.06472 is listed in the metadata.,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,input_data,"https://huggingface.co/datasets/s2orc, https://huggingface.co/datasets/flax-sent",2,The augmented value is correct and directly supported by the source material in both the HuggingFace API metadata and the README excerpt.,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,input_type,Text,2,The source material directly indicates that the model is for text by mentioning it maps 'sentences & paragraphs' to a vector space and by providing text-based usage examples.,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,category,natural language processing,2,"The field 'category' with the value 'natural language processing' is correct and directly supported by the source material, as the model is clearly related to NLP tasks like sentence similarity and embeddings.",0.950
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,documentation,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,0,"The augmented value is a URL for the model page, but the field is specifically for documentation, and the source material does not mention this URL as the official documentation.",1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,is_private,False,2,"The 'private' field in the API metadata is explicitly set to false, directly supporting the augmented value.",1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,is_gated,False,2,The source material indicates the model is not gated as it is publicly accessible and provides detailed usage instructions.,1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_framework,pytorch,2,The 'pytorch' tag in the HuggingFace API metadata directly supports the augmented value.,0.950
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_license,apache-2.0,2,The license identifier 'apache-2.0' is explicitly mentioned in the source material.,0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_model_type,dnn,2,The model is a deep neural network (DNN) as indicated by its description as a sentence-transformers model that maps sentences to a dense vector space.,0.850
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_version,1.0,0,"The source material does not mention the model version as 1.0, making the augmented value misleading.",1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_description,Then you can use the model like this: ```python from sentence_transformers impor,0,"the augmented value is not a one-sentence description of the AI model as required, but rather an example of how to use the model",0.900
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_owner,sentence-transformers,2,The field 'ai_model_owner' is correctly set to 'sentence-transformers' as it is directly mentioned in both the HuggingFace API metadata and the README excerpt under 'library_name' and 'tags'.,1.000
M1: Structured Extraction,1,sentence-transformers/all-MiniLM-L6-v2,ai_model_location,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,2,"The augmented value correctly provides the HuggingFace URL for the model, which is directly supported by the source material.",1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,name,Qwen3-VL-2B-Instruct,2,The augmented value 'Qwen3-VL-2B-Instruct' is correct and directly supported by the model's ID and README content.,1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,version,1.0,1,"The version field is acceptable but imprecise as the source material does not explicitly mention a version number, though it implies a new generation of the model.",1.000
